County,Existing ITNs used last night
Mombasa,68.2
Kwale,84.6
Kilifi,79.5
Tana River,87.9
Lamu,77.6
Taita Taveta,74.7
Garissa,79.2
Wajir,78.2
Mandera,88.8
Marsabit,38.3
Isiolo,86.3
Meru,74.1
Tharaka-Nithi,73.2
Embu,85.3
Kitui,87.1
Machakos,82.6
Makueni,72.6
Nyandarua,63.2
Nyeri,66.1
Kirinyaga,76.1
Murang'a,66.9
Kiambu,67.7
Turkana,61.5
West Pokot,62.4
Samburu,61.6
Trans Nzoia,67.3
Uasin Gishu,60.7
Elgeyo-Marakwet,61.9
Nandi,71.8
Baringo,73.1
Laikipia,66.8
Nakuru,65.5
Narok,53.8
Kajiado,73.6
Kericho,76.5
Bomet,62.4
Kakamega,70.2
Vihiga,76.4
Bungoma,58.9
Busia,78.4
Siaya,80.6
Kisumu,85.6
Homa Bay,66.0
Migori,78.2
Kisii,73.0
Nyamira,73.9
Nairobi,79.6
