County,Category,Proportion,Participants
Mombasa,Diagnosed with HBP/Hypertension,10.7,Women
Mombasa,Taking meds to control BP,40,Women
Kwale,Diagnosed with HBP/Hypertension,4.4,Women
Kwale,Taking meds to control BP,NA,Women
Kilifi,Diagnosed with HBP/Hypertension,6.3,Women
Kilifi,Taking meds to control BP,37.9,Women
Tana River,Diagnosed with HBP/Hypertension,3.6,Women
Tana River,Taking meds to control BP,NA,Women
Lamu,Diagnosed with HBP/Hypertension,10.2,Women
Lamu,Taking meds to control BP,46.9,Women
Taita/Taveta,Diagnosed with HBP/Hypertension,18.1,Women
Taita/Taveta,Taking meds to control BP,12.9,Women
Garissa,Diagnosed with HBP/Hypertension,2.3,Women
Garissa,Taking meds to control BP,NA,Women
Wajir,Diagnosed with HBP/Hypertension,5.9,Women
Wajir,Taking meds to control BP,NA,Women
Mandera,Diagnosed with HBP/Hypertension,2.9,Women
Mandera,Taking meds to control BP,NA,Women
Marsabit,Diagnosed with HBP/Hypertension,2.8,Women
Marsabit,Taking meds to control BP,NA,Women
Isiolo,Diagnosed with HBP/Hypertension,5.3,Women
Isiolo,Taking meds to control BP,NA,Women
Meru,Diagnosed with HBP/Hypertension,11,Women
Meru,Taking meds to control BP,24.3,Women
Tharaka-Nithi,Diagnosed with HBP/Hypertension,14.7,Women
Tharaka-Nithi,Taking meds to control BP,22.7,Women
Embu,Diagnosed with HBP/Hypertension,10.2,Women
Embu,Taking meds to control BP,40.5,Women
Kitui,Diagnosed with HBP/Hypertension,4.3,Women
Kitui,Taking meds to control BP,NA,Women
Machakos,Diagnosed with HBP/Hypertension,11.1,Women
Machakos,Taking meds to control BP,26.9,Women
Makueni,Diagnosed with HBP/Hypertension,3.7,Women
Makueni,Taking meds to control BP,NA,Women
Nyandarua,Diagnosed with HBP/Hypertension,11.7,Women
Nyandarua,Taking meds to control BP,21.9,Women
Nyeri,Diagnosed with HBP/Hypertension,14.3,Women
Nyeri,Taking meds to control BP,26.6,Women
Kirinyaga,Diagnosed with HBP/Hypertension,20,Women
Kirinyaga,Taking meds to control BP,16.7,Women
Murang’a,Diagnosed with HBP/Hypertension,11.6,Women
Murang’a,Taking meds to control BP,28.5,Women
Kiambu,Diagnosed with HBP/Hypertension,7.2,Women
Kiambu,Taking meds to control BP,20.5,Women
Turkana,Diagnosed with HBP/Hypertension,3.3,Women
Turkana,Taking meds to control BP,NA,Women
West Pokot,Diagnosed with HBP/Hypertension,2.6,Women
West Pokot,Taking meds to control BP,NA,Women
Samburu,Diagnosed with HBP/Hypertension,1.7,Women
Samburu,Taking meds to control BP,NA,Women
Trans Nzoia,Diagnosed with HBP/Hypertension,8.3,Women
Trans Nzoia,Taking meds to control BP,29.4,Women
Uasin Gishu,Diagnosed with HBP/Hypertension,11.3,Women
Uasin Gishu,Taking meds to control BP,23.8,Women
Elgeyo/Marakwet,Diagnosed with HBP/Hypertension,7.6,Women
Elgeyo/Marakwet,Taking meds to control BP,NA,Women
Nandi,Diagnosed with HBP/Hypertension,5.1,Women
Nandi,Taking meds to control BP,NA,Women
Baringo,Diagnosed with HBP/Hypertension,8.3,Women
Baringo,Taking meds to control BP,25.8,Women
Laikipia,Diagnosed with HBP/Hypertension,15.6,Women
Laikipia,Taking meds to control BP,33.6,Women
Nakuru,Diagnosed with HBP/Hypertension,8.6,Women
Nakuru,Taking meds to control BP,23.3,Women
Narok,Diagnosed with HBP/Hypertension,5,Women
Narok,Taking meds to control BP,NA,Women
Kajiado,Diagnosed with HBP/Hypertension,13.1,Women
Kajiado,Taking meds to control BP,30.6,Women
Kericho,Diagnosed with HBP/Hypertension,7.1,Women
Kericho,Taking meds to control BP,39.7,Women
Bomet,Diagnosed with HBP/Hypertension,7.3,Women
Bomet,Taking meds to control BP,18.5,Women
Kakamega,Diagnosed with HBP/Hypertension,8.6,Women
Kakamega,Taking meds to control BP,30.5,Women
Vihiga,Diagnosed with HBP/Hypertension,7.5,Women
Vihiga,Taking meds to control BP,16.9,Women
Bungoma,Diagnosed with HBP/Hypertension,9.8,Women
Bungoma,Taking meds to control BP,50.3,Women
Busia,Diagnosed with HBP/Hypertension,3.4,Women
Busia,Taking meds to control BP,NA,Women
Siaya,Diagnosed with HBP/Hypertension,3.4,Women
