County,Category,Proportion,Participants
Mombasa,Diagnosed with Depression,5.3,Women
Mombasa,Receiving treatment,NA,Women
Kwale,Diagnosed with Depression,1.2,Women
Kwale,Receiving treatment,NA,Women
Kilifi,Diagnosed with Depression,1.7,Women
Kilifi,Receiving treatment,NA,Women
Tana River,Diagnosed with Depression,0.7,Women
Tana River,Receiving treatment,NA,Women
Lamu,Diagnosed with Depression,5.9,Women
Lamu,Receiving treatment,NA,Women
Taita/Taveta,Diagnosed with Depression,3.3,Women
Taita/Taveta,Receiving treatment,NA,Women
Garissa,Diagnosed with Depression,7.1,Women
Garissa,Receiving treatment,NA,Women
Wajir,Diagnosed with Depression,0.8,Women
Wajir,Receiving treatment,NA,Women
Mandera,Diagnosed with Depression,0.6,Women
Mandera,Receiving treatment,NA,Women
Marsabit,Diagnosed with Depression,1.4,Women
Marsabit,Receiving treatment,NA,Women
Isiolo,Diagnosed with Depression,3.9,Women
Isiolo,Receiving treatment,NA,Women
Meru,Diagnosed with Depression,10,Women
Meru,Receiving treatment,10,Women
Tharaka-Nithi,Diagnosed with Depression,3.1,Women
Tharaka-Nithi,Receiving treatment,NA,Women
Embu,Diagnosed with Depression,2,Women
Embu,Receiving treatment,NA,Women
Kitui,Diagnosed with Depression,1.4,Women
Kitui,Receiving treatment,NA,Women
Machakos,Diagnosed with Depression,3.3,Women
Machakos,Receiving treatment,NA,Women
Makueni,Diagnosed with Depression,0.4,Women
Makueni,Receiving treatment,NA,Women
Nyandarua,Diagnosed with Depression,2.9,Women
Nyandarua,Receiving treatment,NA,Women
Nyeri,Diagnosed with Depression,5.6,Women
Nyeri,Receiving treatment,NA,Women
Kirinyaga,Diagnosed with Depression,2.7,Women
Kirinyaga,Receiving treatment,NA,Women
Murang’a,Diagnosed with Depression,5.9,Women
Murang’a,Receiving treatment,NA,Women
Kiambu,Diagnosed with Depression,4.2,Women
Kiambu,Receiving treatment,NA,Women
Turkana,Diagnosed with Depression,3.9,Women
Turkana,Receiving treatment,NA,Women
West Pokot,Diagnosed with Depression,4.2,Women
West Pokot,Receiving treatment,NA,Women
Samburu,Diagnosed with Depression,0.4,Women
Samburu,Receiving treatment,NA,Women
Trans Nzoia,Diagnosed with Depression,2.8,Women
Trans Nzoia,Receiving treatment,NA,Women
Uasin Gishu,Diagnosed with Depression,7.8,Women
Uasin Gishu,Receiving treatment,22.4,Women
