County,Category,Proportion,Participants
Mombasa,Diagnosed with Arthritis,2.5,Women
Mombasa,Receiving treatment,NA,Women
Kwale,Diagnosed with Arthritis,0,Women
Kwale,Receiving treatment,NA,Women
Kilifi,Diagnosed with Arthritis,0,Women
Kilifi,Receiving treatment,NA,Women
Tana River,Diagnosed with Arthritis,0.5,Women
Tana River,Receiving treatment,NA,Women
Lamu,Diagnosed with Arthritis,0.7,Women
Lamu,Receiving treatment,NA,Women
Taita/Taveta,Diagnosed with Arthritis,0.8,Women
Taita/Taveta,Receiving treatment,NA,Women
Garissa,Diagnosed with Arthritis,1.9,Women
Garissa,Receiving treatment,NA,Women
Wajir,Diagnosed with Arthritis,1.2,Women
Wajir,Receiving treatment,NA,Women
Mandera,Diagnosed with Arthritis,1.6,Women
Mandera,Receiving treatment,NA,Women
Marsabit,Diagnosed with Arthritis,0.5,Women
Marsabit,Receiving treatment,NA,Women
Isiolo,Diagnosed with Arthritis,2.3,Women
Isiolo,Receiving treatment,NA,Women
Meru,Diagnosed with Arthritis,10.4,Women
Meru,Receiving treatment,37.9,Women
Tharaka-Nithi,Diagnosed with Arthritis,11.1,Women
Tharaka-Nithi,Receiving treatment,45,Women
Embu,Diagnosed with Arthritis,4.4,Women
Embu,Receiving treatment,NA,Women
Kitui,Diagnosed with Arthritis,0.4,Women
Kitui,Receiving treatment,NA,Women
Machakos,Diagnosed with Arthritis,0.4,Women
Machakos,Receiving treatment,NA,Women
Makueni,Diagnosed with Arthritis,2,Women
Makueni,Receiving treatment,NA,Women
Nyandarua,Diagnosed with Arthritis,8.3,Women
Nyandarua,Receiving treatment,27,Women
Nyeri,Diagnosed with Arthritis,4.6,Women
Nyeri,Receiving treatment,NA,Women
Kirinyaga,Diagnosed with Arthritis,7.2,Women
Kirinyaga,Receiving treatment,NA,Women
Murang’a,Diagnosed with Arthritis,3.8,Women
Murang’a,Receiving treatment,NA,Women
Kiambu,Diagnosed with Arthritis,2.8,Women
Kiambu,Receiving treatment,NA,Women
Turkana,Diagnosed with Arthritis,2.1,Women
Turkana,Receiving treatment,NA,Women
West Pokot,Diagnosed with Arthritis,3.3,Women
West Pokot,Receiving treatment,NA,Women
Samburu,Diagnosed with Arthritis,1.2,Women
Samburu,Receiving treatment,NA,Women
Trans Nzoia,Diagnosed with Arthritis,0.4,Women
Trans Nzoia,Receiving treatment,NA,Women
Uasin Gishu,Diagnosed with Arthritis,5.1,Women
Uasin Gishu,Receiving treatment,NA,Women
Elgeyo/Marakwet,Diagnosed with Arthritis,0.8,Women
Elgeyo/Marakwet,Receiving treatment,NA,Women
Nandi,Diagnosed with Arthritis,2.4,Women
Nandi,Receiving treatment,NA,Women
Baringo,Diagnosed with Arthritis,7.2,Women
Baringo,Receiving treatment,49.7,Women
Laikipia,Diagnosed with Arthritis,4.4,Women
Laikipia,Receiving treatment,NA,Women
Nakuru,Diagnosed with Arthritis,4.3,Women
Nakuru,Receiving treatment,NA,Women
Narok,Diagnosed with Arthritis,3.2,Women
Narok,Receiving treatment,NA,Women
Kajiado,Diagnosed with Arthritis,2.6,Women
Kajiado,Receiving treatment,NA,Women
Kericho,Diagnosed with Arthritis,0.8,Women
Kericho,Receiving treatment,NA,Women
Bomet,Diagnosed with Arthritis,1.8,Women
Bomet,Receiving treatment,NA,Women
Kakamega,Diagnosed with Arthritis,0.9,Women
Kakamega,Receiving treatment,NA,Women
Vihiga,Diagnosed with Arthritis,2.4,Women
Vihiga,Receiving treatment,NA,Women
Bungoma,Diagnosed with Arthritis,2.8,Women
Bungoma,Receiving treatment,NA,Women
Busia,Diagnosed with Arthritis,0.4,Women
Busia,Receiving treatment,NA,Women
Siaya,Diagnosed with Arthritis,2.6,Women
Siaya,Receiving treatment,NA,Women
Kisumu,Diagnosed with Arthritis,2,Women
Kisumu,Receiving treatment,NA,Women
Homa Bay,Diagnosed with Arthritis,4.5,Women
