"County","Gender","variable","value"
"Mombasa","Female","Percentage who own any mobile phone","83.2"
"Kwale","Female","Percentage who own any mobile phone","63.8"
"Kilifi","Female","Percentage who own any mobile phone","64.5"
"Tana River","Female","Percentage who own any mobile phone","59.5"
"Lamu","Female","Percentage who own any mobile phone","67.2"
"Taita Taveta","Female","Percentage who own any mobile phone","87.0"
"Garissa","Female","Percentage who own any mobile phone","75.4"
"Wajir","Female","Percentage who own any mobile phone","70.3"
"Mandera","Female","Percentage who own any mobile phone","76.9"
"Marsabit","Female","Percentage who own any mobile phone","73.3"
"Isiolo","Female","Percentage who own any mobile phone","79.4"
"Meru","Female","Percentage who own any mobile phone","74.1"
"Tharaka-Nithi","Female","Percentage who own any mobile phone","85.5"
"Embu","Female","Percentage who own any mobile phone","86.8"
"Kitui","Female","Percentage who own any mobile phone","73.9"
"Machakos","Female","Percentage who own any mobile phone","85.5"
"Makueni","Female","Percentage who own any mobile phone","73.2"
"Nyandarua","Female","Percentage who own any mobile phone","82.3"
"Nyeri","Female","Percentage who own any mobile phone","89.8"
"Kirinyaga","Female","Percentage who own any mobile phone","85.3"
"Murang'a","Female","Percentage who own any mobile phone","82.0"
"Kiambu","Female","Percentage who own any mobile phone","91.0"
"Turkana","Female","Percentage who own any mobile phone","49.9"
"West Pokot","Female","Percentage who own any mobile phone","52.8"
"Samburu","Female","Percentage who own any mobile phone","66.5"
"Trans Nzoia","Female","Percentage who own any mobile phone","73.3"
"Uasin Gishu","Female","Percentage who own any mobile phone","85.9"
"Elgeyo-Marakwet","Female","Percentage who own any mobile phone","72.7"
"Nandi","Female","Percentage who own any mobile phone","73.9"
"Baringo","Female","Percentage who own any mobile phone","67.5"
"Laikipia","Female","Percentage who own any mobile phone","77.8"
"Nakuru","Female","Percentage who own any mobile phone","80.3"
"Narok","Female","Percentage who own any mobile phone","67.1"
"Kajiado","Female","Percentage who own any mobile phone","88.0"
"Kericho","Female","Percentage who own any mobile phone","76.4"
"Bomet","Female","Percentage who own any mobile phone","65.1"
"Kakamega","Female","Percentage who own any mobile phone","69.0"
"Vihiga","Female","Percentage who own any mobile phone","65.3"
"Bungoma","Female","Percentage who own any mobile phone","63.7"
"Busia","Female","Percentage who own any mobile phone","65.0"
"Siaya","Female","Percentage who own any mobile phone","70.7"
"Kisumu","Female","Percentage who own any mobile phone","71.7"
"Homa Bay","Female","Percentage who own any mobile phone","72.0"
"Migori","Female","Percentage who own any mobile phone","59.7"
"Kisii","Female","Percentage who own any mobile phone","73.6"
"Nyamira","Female","Percentage who own any mobile phone","73.5"
"Nairobi","Female","Percentage who own any mobile phone","92.0"
"Mombasa","Male","Percentage who own any mobile phone","88.9"
"Kwale","Male","Percentage who own any mobile phone","76.2"
"Kilifi","Male","Percentage who own any mobile phone","76.8"
"Tana River","Male","Percentage who own any mobile phone","76.3"
"Lamu","Male","Percentage who own any mobile phone","84.8"
"Taita Taveta","Male","Percentage who own any mobile phone","81.7"
"Garissa","Male","Percentage who own any mobile phone","88.4"
"Wajir","Male","Percentage who own any mobile phone","78.2"
"Mandera","Male","Percentage who own any mobile phone","78.8"
"Marsabit","Male","Percentage who own any mobile phone","81.4"
"Isiolo","Male","Percentage who own any mobile phone","89.8"
"Meru","Male","Percentage who own any mobile phone","80.7"
"Tharaka-Nithi","Male","Percentage who own any mobile phone","79.5"
"Embu","Male","Percentage who own any mobile phone","83.9"
"Kitui","Male","Percentage who own any mobile phone","77.7"
"Machakos","Male","Percentage who own any mobile phone","77.1"
"Makueni","Male","Percentage who own any mobile phone","78.9"
"Nyandarua","Male","Percentage who own any mobile phone","79.7"
"Nyeri","Male","Percentage who own any mobile phone","90.5"
"Kirinyaga","Male","Percentage who own any mobile phone","87.6"
"Murang'a","Male","Percentage who own any mobile phone","81.6"
"Kiambu","Male","Percentage who own any mobile phone","86.7"
"Turkana","Male","Percentage who own any mobile phone","66.2"
"West Pokot","Male","Percentage who own any mobile phone","77.5"
"Samburu","Male","Percentage who own any mobile phone","83.5"
"Trans Nzoia","Male","Percentage who own any mobile phone","72.9"
"Uasin Gishu","Male","Percentage who own any mobile phone","85.3"
"Elgeyo-Marakwet","Male","Percentage who own any mobile phone","76.4"
"Nandi","Male","Percentage who own any mobile phone","80.2"
"Baringo","Male","Percentage who own any mobile phone","73.2"
"Laikipia","Male","Percentage who own any mobile phone","85.1"
"Nakuru","Male","Percentage who own any mobile phone","75.1"
"Narok","Male","Percentage who own any mobile phone","84.9"
"Kajiado","Male","Percentage who own any mobile phone","86.2"
"Kericho","Male","Percentage who own any mobile phone","81.3"
"Bomet","Male","Percentage who own any mobile phone","74.9"
"Kakamega","Male","Percentage who own any mobile phone","64.9"
"Vihiga","Male","Percentage who own any mobile phone","65.7"
"Bungoma","Male","Percentage who own any mobile phone","66.2"
"Busia","Male","Percentage who own any mobile phone","66.2"
"Siaya","Male","Percentage who own any mobile phone","65.2"
"Kisumu","Male","Percentage who own any mobile phone","77.9"
"Homa Bay","Male","Percentage who own any mobile phone","76.8"
"Migori","Male","Percentage who own any mobile phone","72.1"
"Kisii","Male","Percentage who own any mobile phone","75.8"
"Nyamira","Male","Percentage who own any mobile phone","69.2"
"Nairobi","Male","Percentage who own any mobile phone","94.6"
"Mombasa","Female","Percentage who own a smartphone","52.9"
"Kwale","Female","Percentage who own a smartphone","29.4"
"Kilifi","Female","Percentage who own a smartphone","24.1"
"Tana River","Female","Percentage who own a smartphone","14.5"
"Lamu","Female","Percentage who own a smartphone","31.8"
"Taita Taveta","Female","Percentage who own a smartphone","46.3"
"Garissa","Female","Percentage who own a smartphone","34.7"
"Wajir","Female","Percentage who own a smartphone","28.2"
"Mandera","Female","Percentage who own a smartphone","15.2"
"Marsabit","Female","Percentage who own a smartphone","13.1"
"Isiolo","Female","Percentage who own a smartphone","40.2"
"Meru","Female","Percentage who own a smartphone","32.5"
"Tharaka-Nithi","Female","Percentage who own a smartphone","40.8"
"Embu","Female","Percentage who own a smartphone","45.5"
"Kitui","Female","Percentage who own a smartphone","25.9"
"Machakos","Female","Percentage who own a smartphone","50.7"
"Makueni","Female","Percentage who own a smartphone","38.9"
"Nyandarua","Female","Percentage who own a smartphone","38.8"
"Nyeri","Female","Percentage who own a smartphone","61.9"
"Kirinyaga","Female","Percentage who own a smartphone","50.0"
"Murang'a","Female","Percentage who own a smartphone","46.4"
"Kiambu","Female","Percentage who own a smartphone","67.2"
"Turkana","Female","Percentage who own a smartphone","13.0"
"West Pokot","Female","Percentage who own a smartphone","15.5"
"Samburu","Female","Percentage who own a smartphone","20.4"
"Trans Nzoia","Female","Percentage who own a smartphone","37.3"
"Uasin Gishu","Female","Percentage who own a smartphone","56.5"
"Elgeyo-Marakwet","Female","Percentage who own a smartphone","29.5"
"Nandi","Female","Percentage who own a smartphone","39.3"
"Baringo","Female","Percentage who own a smartphone","26.5"
"Laikipia","Female","Percentage who own a smartphone","45.2"
"Nakuru","Female","Percentage who own a smartphone","46.6"
"Narok","Female","Percentage who own a smartphone","26.5"
"Kajiado","Female","Percentage who own a smartphone","59.1"
"Kericho","Female","Percentage who own a smartphone","33.3"
"Bomet","Female","Percentage who own a smartphone","19.8"
"Kakamega","Female","Percentage who own a smartphone","32.4"
"Vihiga","Female","Percentage who own a smartphone","26.2"
"Bungoma","Female","Percentage who own a smartphone","29.1"
"Busia","Female","Percentage who own a smartphone","24.7"
"Siaya","Female","Percentage who own a smartphone","28.4"
"Kisumu","Female","Percentage who own a smartphone","32.1"
"Homa Bay","Female","Percentage who own a smartphone","26.9"
"Migori","Female","Percentage who own a smartphone","21.9"
"Kisii","Female","Percentage who own a smartphone","31.2"
"Nyamira","Female","Percentage who own a smartphone","25.1"
"Nairobi","Female","Percentage who own a smartphone","71.7"
"Mombasa","Male","Percentage who own a smartphone","62.5"
"Kwale","Male","Percentage who own a smartphone","38.4"
"Kilifi","Male","Percentage who own a smartphone","42.4"
"Tana River","Male","Percentage who own a smartphone","19.7"
"Lamu","Male","Percentage who own a smartphone","41.2"
"Taita Taveta","Male","Percentage who own a smartphone","48.6"
"Garissa","Male","Percentage who own a smartphone","52.0"
"Wajir","Male","Percentage who own a smartphone","50.6"
"Mandera","Male","Percentage who own a smartphone","38.3"
"Marsabit","Male","Percentage who own a smartphone","36.0"
"Isiolo","Male","Percentage who own a smartphone","58.6"
"Meru","Male","Percentage who own a smartphone","40.1"
"Tharaka-Nithi","Male","Percentage who own a smartphone","36.7"
"Embu","Male","Percentage who own a smartphone","42.8"
"Kitui","Male","Percentage who own a smartphone","29.5"
"Machakos","Male","Percentage who own a smartphone","45.1"
"Makueni","Male","Percentage who own a smartphone","35.8"
"Nyandarua","Male","Percentage who own a smartphone","50.9"
"Nyeri","Male","Percentage who own a smartphone","56.1"
"Kirinyaga","Male","Percentage who own a smartphone","60.1"
"Murang'a","Male","Percentage who own a smartphone","44.1"
"Kiambu","Male","Percentage who own a smartphone","60.2"
"Turkana","Male","Percentage who own a smartphone","19.5"
"West Pokot","Male","Percentage who own a smartphone","26.1"
"Samburu","Male","Percentage who own a smartphone","44.4"
"Trans Nzoia","Male","Percentage who own a smartphone","46.3"
"Uasin Gishu","Male","Percentage who own a smartphone","61.9"
"Elgeyo-Marakwet","Male","Percentage who own a smartphone","38.4"
"Nandi","Male","Percentage who own a smartphone","42.9"
"Baringo","Male","Percentage who own a smartphone","36.2"
"Laikipia","Male","Percentage who own a smartphone","57.7"
"Nakuru","Male","Percentage who own a smartphone","50.8"
"Narok","Male","Percentage who own a smartphone","44.4"
"Kajiado","Male","Percentage who own a smartphone","63.0"
"Kericho","Male","Percentage who own a smartphone","37.8"
"Bomet","Male","Percentage who own a smartphone","34.6"
"Kakamega","Male","Percentage who own a smartphone","34.0"
"Vihiga","Male","Percentage who own a smartphone","34.3"
"Bungoma","Male","Percentage who own a smartphone","34.6"
"Busia","Male","Percentage who own a smartphone","33.9"
"Siaya","Male","Percentage who own a smartphone","34.6"
"Kisumu","Male","Percentage who own a smartphone","33.3"
"Homa Bay","Male","Percentage who own a smartphone","37.3"
"Migori","Male","Percentage who own a smartphone","36.9"
"Kisii","Male","Percentage who own a smartphone","41.5"
"Nyamira","Male","Percentage who own a smartphone","31.0"
"Nairobi","Male","Percentage who own a smartphone","81.5"
"Mombasa","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","79.8"
"Kwale","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","66.9"
"Kilifi","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","72.8"
"Tana River","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","52.2"
"Lamu","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","69.3"
"Taita Taveta","Female","Percentage who used a mobile phone for financial transactions in the last 12 months","82.0"
