County,Category,Proportion
Mombasa,Fixed handwashing place,30.1
Mombasa,Mobile handwashing place,25.9
Mombasa,Water available,97.7
Mombasa,Soap available,81.7
Mombasa,Other cleansing agent available,0.9
Mombasa,Pop. with basic handwashing facility,47.9
Mombasa,Pop. with limited handwashing facility,11.0
Kwale,Fixed handwashing place,9.3
Kwale,Mobile handwashing place,37.2
Kwale,Water available,76.3
Kwale,Soap available,46.1
Kwale,Other cleansing agent available,1.3
Kwale,Pop. with basic handwashing facility,22.7
Kwale,Pop. with limited handwashing facility,26.6
Kilifi,Fixed handwashing place,8.4
Kilifi,Mobile handwashing place,9.6
Kilifi,Water available,82.3
Kilifi,Soap available,55.6
Kilifi,Other cleansing agent available,0.9
Kilifi,Pop. with basic handwashing facility,9.7
Kilifi,Pop. with limited handwashing facility,8.7
Tana River,Fixed handwashing place,3.7
Tana River,Mobile handwashing place,44.0
Tana River,Water available,82.4
Tana River,Soap available,11.7
Tana River,Other cleansing agent available,9.7
Tana River,Pop. with basic handwashing facility,7.3
Tana River,Pop. with limited handwashing facility,55.4
Lamu,Fixed handwashing place,20.7
Lamu,Mobile handwashing place,21.1
Lamu,Water available,87.6
Lamu,Soap available,45.4
Lamu,Other cleansing agent available,3.6
Lamu,Pop. with basic handwashing facility,23.4
Lamu,Pop. with limited handwashing facility,31.8
Taita Taveta,Fixed handwashing place,31.5
Taita Taveta,Mobile handwashing place,44.9
Taita Taveta,Water available,91.7
Taita Taveta,Soap available,57.0
Taita Taveta,Other cleansing agent available,0.0
Taita Taveta,Pop. with basic handwashing facility,43.5
Taita Taveta,Pop. with limited handwashing facility,34.0
Garissa,Fixed handwashing place,2.8
Garissa,Mobile handwashing place,38.2
Garissa,Water available,94.1
Garissa,Soap available,24.1
Garissa,Other cleansing agent available,1.6
Garissa,Pop. with basic handwashing facility,10.0
Garissa,Pop. with limited handwashing facility,31.5
Wajir,Fixed handwashing place,5.0
Wajir,Mobile handwashing place,54.9
Wajir,Water available,56.3
Wajir,Soap available,10.8
Wajir,Other cleansing agent available,3.4
Wajir,Pop. with basic handwashing facility,7.0
Wajir,Pop. with limited handwashing facility,59.1
Mandera,Fixed handwashing place,1.8
Mandera,Mobile handwashing place,90.6
Mandera,Water available,67.3
Mandera,Soap available,41.5
Mandera,Other cleansing agent available,4.1
Mandera,Pop. with basic handwashing facility,37.8
Mandera,Pop. with limited handwashing facility,54.8
Marsabit,Fixed handwashing place,5.0
Marsabit,Mobile handwashing place,45.5
Marsabit,Water available,88.2
Marsabit,Soap available,63.9
Marsabit,Other cleansing agent available,4.0
Marsabit,Pop. with basic handwashing facility,34.0
Marsabit,Pop. with limited handwashing facility,21.9
Isiolo,Fixed handwashing place,19.7
Isiolo,Mobile handwashing place,16.4
Isiolo,Water available,88.5
Isiolo,Soap available,61.0
Isiolo,Other cleansing agent available,2.5
Isiolo,Pop. with basic handwashing facility,26.2
Isiolo,Pop. with limited handwashing facility,19.9
Meru,Fixed handwashing place,22.1
Meru,Mobile handwashing place,58.9
Meru,Water available,85.8
Meru,Soap available,62.1
Meru,Other cleansing agent available,0.3
Meru,Pop. with basic handwashing facility,49.9
Meru,Pop. with limited handwashing facility,36.3
Tharaka-Nithi,Fixed handwashing place,34.1
Tharaka-Nithi,Mobile handwashing place,44.1
Tharaka-Nithi,Water available,90.6
Tharaka-Nithi,Soap available,58.7
Tharaka-Nithi,Other cleansing agent available,0.2
Tharaka-Nithi,Pop. with basic handwashing facility,45.6
Tharaka-Nithi,Pop. with limited handwashing facility,33.3
Embu,Fixed handwashing place,44.9
Embu,Mobile handwashing place,31.0
Embu,Water available,97.7
Embu,Soap available,58.3
Embu,Other cleansing agent available,1.2
