County,Category,Proportion
Mombasa,Population w/o water on premises,70.7
Mombasa,Adult female,44.2
Mombasa,Adult male,32.1
Mombasa,Female child,0.6
Mombasa,Male child,6.6
Mombasa,Person not in household,16.5
Kwale,Population w/o water on premises,76.5
Kwale,Adult female,69.8
Kwale,Adult male,19.7
Kwale,Female child,2.4
Kwale,Male child,3.1
Kwale,Person not in household,5.0
Kilifi,Population w/o water on premises,56.4
Kilifi,Adult female,74.3
Kilifi,Adult male,9.8
Kilifi,Female child,5.8
Kilifi,Male child,1.4
Kilifi,Person not in household,8.7
Tana River,Population w/o water on premises,80.4
Tana River,Adult female,78.1
Tana River,Adult male,6.4
Tana River,Female child,11.1
Tana River,Male child,1.0
Tana River,Person not in household,3.5
Lamu,Population w/o water on premises,59.6
Lamu,Adult female,56.5
Lamu,Adult male,29.5
Lamu,Female child,4.1
Lamu,Male child,2.1
Lamu,Person not in household,7.9
Taita Taveta,Population w/o water on premises,42.3
Taita Taveta,Adult female,60.2
Taita Taveta,Adult male,25.3
Taita Taveta,Female child,1.2
Taita Taveta,Male child,0.0
Taita Taveta,Person not in household,13.2
Garissa,Population w/o water on premises,56.5
Garissa,Adult female,40.0
Garissa,Adult male,9.9
Garissa,Female child,11.3
Garissa,Male child,3.4
Garissa,Person not in household,35.4
Wajir,Population w/o water on premises,65.6
Wajir,Adult female,52.4
Wajir,Adult male,14.8
Wajir,Female child,10.7
Wajir,Male child,7.6
Wajir,Person not in household,14.4
Mandera,Population w/o water on premises,83.2
Mandera,Adult female,54.2
Mandera,Adult male,7.1
Mandera,Female child,7.9
Mandera,Male child,4.5
Mandera,Person not in household,26.3
Marsabit,Population w/o water on premises,87.5
Marsabit,Adult female,64.6
Marsabit,Adult male,6.0
Marsabit,Female child,4.3
Marsabit,Male child,1.8
Marsabit,Person not in household,23.3
Isiolo,Population w/o water on premises,37.6
Isiolo,Adult female,83.4
Isiolo,Adult male,4.4
Isiolo,Female child,7.3
Isiolo,Male child,1.8
Isiolo,Person not in household,3.1
Meru,Population w/o water on premises,39.3
Meru,Adult female,78.3
Meru,Adult male,9.1
Meru,Female child,4.9
Meru,Male child,2.3
Meru,Person not in household,5.3
Tharaka-Nithi,Population w/o water on premises,40.7
Tharaka-Nithi,Adult female,69.1
Tharaka-Nithi,Adult male,24.4
Tharaka-Nithi,Female child,1.9
Tharaka-Nithi,Male child,0.8
Tharaka-Nithi,Person not in household,3.9
Embu,Population w/o water on premises,31.3
Embu,Adult female,52.7
Embu,Adult male,33.9
Embu,Female child,2.3
Embu,Male child,1.2
Embu,Person not in household,9.9
Kitui,Population w/o water on premises,87.3
Kitui,Adult female,66.0
Kitui,Adult male,22.1
Kitui,Female child,3.4
Kitui,Male child,1.7
Kitui,Person not in household,6.7
Machakos,Population w/o water on premises,65.7
Machakos,Adult female,54.3
Machakos,Adult male,27.8
Machakos,Female child,2.1
Machakos,Male child,3.4
Machakos,Person not in household,12.4
Makueni,Population w/o water on premises,74.1
Makueni,Adult female,53.0
Makueni,Adult male,26.3
Makueni,Female child,3.0
Makueni,Male child,2.5
Makueni,Person not in household,15.2
Nyandarua,Population w/o water on premises,16.6
Nyandarua,Adult female,50.2
Nyandarua,Adult male,23.7
Nyandarua,Female child,6.3
Nyandarua,Male child,3.1
Nyandarua,Person not in household,16.8
Nyeri,Population w/o water on premises,10.1
Nyeri,Adult female,67.7
Nyeri,Adult male,21.2
Nyeri,Female child,0.0
Nyeri,Male child,0.0
Nyeri,Person not in household,11.1
Kirinyaga,Population w/o water on premises,27.4
Kirinyaga,Adult female,54.8
Kirinyaga,Adult male,24.2
Kirinyaga,Female child,2.4
Kirinyaga,Male child,1.4
Kirinyaga,Person not in household,17.1
Murang'a,Population w/o water on premises,28.0
Murang'a,Adult female,66.3
Murang'a,Adult male,20.6
Murang'a,Female child,2.3
Murang'a,Male child,1.2
Murang'a,Person not in household,9.5
Kiambu,Population w/o water on premises,14.0
Kiambu,Adult female,65.0
Kiambu,Adult male,19.1
Kiambu,Female child,3.3
Kiambu,Male child,2.4
Kiambu,Person not in household,10.1
Turkana,Population w/o water on premises,80.2
Turkana,Adult female,66.1
Turkana,Adult male,5.0
Turkana,Female child,22.6
Turkana,Male child,4.6
Turkana,Person not in household,1.7
West Pokot,Population w/o water on premises,68.6
West Pokot,Adult female,75.3
West Pokot,Adult male,6.0
West Pokot,Female child,13.5
West Pokot,Male child,3.3
West Pokot,Person not in household,1.8
Samburu,Population w/o water on premises,86.4
Samburu,Adult female,86.3
Samburu,Adult male,4.2
Samburu,Female child,3.7
Samburu,Male child,0.1
Samburu,Person not in household,5.7
Trans Nzoia,Population w/o water on premises,60.5
Trans Nzoia,Adult female,75.0
Trans Nzoia,Adult male,12.3
Trans Nzoia,Female child,4.8
Trans Nzoia,Male child,3.5
Trans Nzoia,Person not in household,4.4
Uasin Gishu,Population w/o water on premises,28.2
Uasin Gishu,Adult female,76.9
Uasin Gishu,Adult male,13.3
Uasin Gishu,Female child,5.4
Uasin Gishu,Male child,0.8
Uasin Gishu,Person not in household,3.7
Elgeyo-Marakwet,Population w/o water on premises,41.7
Elgeyo-Marakwet,Adult female,80.9
Elgeyo-Marakwet,Adult male,12.0
Elgeyo-Marakwet,Female child,2.8
Elgeyo-Marakwet,Male child,2.2
Elgeyo-Marakwet,Person not in household,2.2
Nandi,Population w/o water on premises,68.2
Nandi,Adult female,83.0
Nandi,Adult male,7.7
Nandi,Female child,4.4
Nandi,Male child,1.7
Nandi,Person not in household,3.2
Baringo,Population w/o water on premises,72.8
Baringo,Adult female,74.7
Baringo,Adult male,9.6
Baringo,Female child,4.3
Baringo,Male child,1.6
Baringo,Person not in household,9.8
Laikipia,Population w/o water on premises,37.8
Laikipia,Adult female,73.9
Laikipia,Adult male,16.8
Laikipia,Female child,4.0
Laikipia,Male child,0.7
Laikipia,Person not in household,4.7
Nakuru,Population w/o water on premises,40.3
Nakuru,Adult female,69.2
Nakuru,Adult male,17.7
Nakuru,Female child,1.1
Nakuru,Male child,3.8
Nakuru,Person not in household,8.2
Narok,Population w/o water on premises,64.9
Narok,Adult female,80.4
Narok,Adult male,8.2
Narok,Female child,2.3
Narok,Male child,1.3
Narok,Person not in household,7.8
Kajiado,Population w/o water on premises,48.1
Kajiado,Adult female,63.9
Kajiado,Adult male,12.2
Kajiado,Female child,4.5
Kajiado,Male child,1.1
Kajiado,Person not in household,18.3
Kericho,Population w/o water on premises,61.2
Kericho,Adult female,85.4
Kericho,Adult male,6.0
Kericho,Female child,2.1
Kericho,Male child,0.5
Kericho,Person not in household,6.1
Bomet,Population w/o water on premises,44.1
Bomet,Adult female,94.1
