County,Category,Proportion
Mombasa,Use appropriate treatment method,31.0
Mombasa,Boil,10.0
Mombasa,Bleach/chlorine,24.2
Mombasa,Strain through cloth,0.5
Mombasa,Ceramic/sand/other filter,0.4
Mombasa,Solar disinfection,0.0
Mombasa,Stand & settle,0.2
Mombasa,Cover container,0.0
Mombasa,Other,0.3
Mombasa,Don't know,0.0
Mombasa,No treatment,68.4
Kwale,Use appropriate treatment method,16.8
Kwale,Boil,5.2
Kwale,Bleach/chlorine,14.0
Kwale,Strain through cloth,0.9
Kwale,Ceramic/sand/other filter,0.1
Kwale,Solar disinfection,0.0
Kwale,Stand & settle,1.2
Kwale,Cover container,0.0
Kwale,Other,0.0
Kwale,Don't know,0.0
Kwale,No treatment,81.8
Kilifi,Use appropriate treatment method,10.3
Kilifi,Boil,3.8
Kilifi,Bleach/chlorine,6.9
Kilifi,Strain through cloth,0.6
Kilifi,Ceramic/sand/other filter,0.1
Kilifi,Solar disinfection,0.0
Kilifi,Stand & settle,0.6
Kilifi,Cover container,3.3
Kilifi,Other,0.1
Kilifi,Don't know,0.0
Kilifi,No treatment,86.0
Tana River,Use appropriate treatment method,12.8
Tana River,Boil,0.9
Tana River,Bleach/chlorine,8.5
Tana River,Strain through cloth,0.1
Tana River,Ceramic/sand/other filter,3.7
Tana River,Solar disinfection,0.0
Tana River,Stand & settle,0.0
Tana River,Cover container,0.1
Tana River,Other,0.0
Tana River,Don't know,0.0
Tana River,No treatment,87.2
Lamu,Use appropriate treatment method,19.4
Lamu,Boil,7.3
Lamu,Bleach/chlorine,13.6
Lamu,Strain through cloth,0.5
Lamu,Ceramic/sand/other filter,0.0
Lamu,Solar disinfection,0.0
Lamu,Stand & settle,1.1
Lamu,Cover container,0.7
Lamu,Other,0.5
Lamu,Don't know,0.2
Lamu,No treatment,79.0
Taita Taveta,Use appropriate treatment method,28.3
Taita Taveta,Boil,13.9
Taita Taveta,Bleach/chlorine,16.8
Taita Taveta,Strain through cloth,0.2
Taita Taveta,Ceramic/sand/other filter,0.2
Taita Taveta,Solar disinfection,0.0
Taita Taveta,Stand & settle,1.7
Taita Taveta,Cover container,0.6
Taita Taveta,Other,0.2
Taita Taveta,Don't know,0.0
Taita Taveta,No treatment,70.3
Garissa,Use appropriate treatment method,3.1
Garissa,Boil,2.0
Garissa,Bleach/chlorine,1.7
Garissa,Strain through cloth,0.0
Garissa,Ceramic/sand/other filter,0.0
Garissa,Solar disinfection,0.0
Garissa,Stand & settle,0.0
Garissa,Cover container,0.0
Garissa,Other,0.1
Garissa,Don't know,0.0
Garissa,No treatment,96.8
Wajir,Use appropriate treatment method,5.5
Wajir,Boil,2.2
Wajir,Bleach/chlorine,3.4
Wajir,Strain through cloth,0.0
Wajir,Ceramic/sand/other filter,0.0
Wajir,Solar disinfection,0.0
Wajir,Stand & settle,0.0
Wajir,Cover container,0.1
Wajir,Other,0.0
Wajir,Don't know,0.0
Wajir,No treatment,94.5
Mandera,Use appropriate treatment method,10.3
Mandera,Boil,0.6
Mandera,Bleach/chlorine,9.5
Mandera,Strain through cloth,0.0
Mandera,Ceramic/sand/other filter,0.2
Mandera,Solar disinfection,0.0
Mandera,Stand & settle,1.0
Mandera,Cover container,0.0
Mandera,Other,0.0
Mandera,Don't know,0.0
Mandera,No treatment,89.7
Marsabit,Use appropriate treatment method,18.2
Marsabit,Boil,2.4
Marsabit,Bleach/chlorine,16.7
Marsabit,Strain through cloth,0.0
Marsabit,Ceramic/sand/other filter,0.0
Marsabit,Solar disinfection,0.0
Marsabit,Stand & settle,0.0
Marsabit,Cover container,0.0
Marsabit,Other,0.0
Marsabit,Don't know,0.1
Marsabit,No treatment,81.8
Isiolo,Use appropriate treatment method,27.0
Isiolo,Boil,12.5
Isiolo,Bleach/chlorine,18.1
Isiolo,Strain through cloth,0.5
Isiolo,Ceramic/sand/other filter,0.5
Isiolo,Solar disinfection,0.0
Isiolo,Stand & settle,0.1
Isiolo,Cover container,0.4
Isiolo,Other,0.0
Isiolo,Don't know,0.0
Isiolo,No treatment,72.8
Meru,Use appropriate treatment method,41.4
Meru,Boil,39.2
Meru,Bleach/chlorine,4.4
Meru,Strain through cloth,0.2
Meru,Ceramic/sand/other filter,0.0
Meru,Solar disinfection,0.0
Meru,Stand & settle,1.3
Meru,Cover container,0.0
Meru,Other,0.2
Meru,Don't know,0.1
Meru,No treatment,57.9
Tharaka-Nithi,Use appropriate treatment method,31.0
Tharaka-Nithi,Boil,28.0
Tharaka-Nithi,Bleach/chlorine,4.7
Tharaka-Nithi,Strain through cloth,0.0
Tharaka-Nithi,Ceramic/sand/other filter,0.0
Tharaka-Nithi,Solar disinfection,0.1
Tharaka-Nithi,Stand & settle,1.0
Tharaka-Nithi,Cover container,0.3
Tharaka-Nithi,Other,0.0
Tharaka-Nithi,Don't know,0.0
Tharaka-Nithi,No treatment,68.2
Embu,Use appropriate treatment method,23.3
Embu,Boil,19.4
Embu,Bleach/chlorine,4.3
Embu,Strain through cloth,0.0
Embu,Ceramic/sand/other filter,0.5
Embu,Solar disinfection,0.3
Embu,Stand & settle,0.3
Embu,Cover container,3.5
Embu,Other,0.0
Embu,Don't know,0.0
Embu,No treatment,76.3
Kitui,Use appropriate treatment method,19.2
Kitui,Boil,7.8
Kitui,Bleach/chlorine,12.3
Kitui,Strain through cloth,0.3
Kitui,Ceramic/sand/other filter,0.3
Kitui,Solar disinfection,0.0
Kitui,Stand & settle,1.5
Kitui,Cover container,0.0
Kitui,Other,0.0
Kitui,Don't know,0.0
Kitui,No treatment,79.3
Machakos,Use appropriate treatment method,26.7
Machakos,Boil,13.5
Machakos,Bleach/chlorine,14.2
Machakos,Strain through cloth,0.6
Machakos,Ceramic/sand/other filter,0.5
Machakos,Solar disinfection,0.0
Machakos,Stand & settle,0.8
Machakos,Cover container,0.0
Machakos,Other,0.2
Machakos,Don't know,0.0
Machakos,No treatment,72.3
Makueni,Use appropriate treatment method,27.7
Makueni,Boil,14.1
Makueni,Bleach/chlorine,16.5
Makueni,Strain through cloth,0.0
Makueni,Ceramic/sand/other filter,0.4
Makueni,Solar disinfection,0.0
Makueni,Stand & settle,0.2
Makueni,Cover container,0.0
Makueni,Other,0.0
Makueni,Don't know,0.0
Makueni,No treatment,72.3
Nyandarua,Use appropriate treatment method,42.9
Nyandarua,Boil,39.5
Nyandarua,Bleach/chlorine,5.9
Nyandarua,Strain through cloth,0.1
Nyandarua,Ceramic/sand/other filter,0.5
Nyandarua,Solar disinfection,0.0
Nyandarua,Stand & settle,0.4
Nyandarua,Cover container,0.4
Nyandarua,Other,0.0
Nyandarua,Don't know,0.0
Nyandarua,No treatment,56.6
Nyeri,Use appropriate treatment method,42.0
Nyeri,Boil,35.3
Nyeri,Bleach/chlorine,8.3
Nyeri,Strain through cloth,0.0
Nyeri,Ceramic/sand/other filter,0.4
Nyeri,Solar disinfection,0.3
Nyeri,Stand & settle,2.7
Nyeri,Cover container,3.3
Nyeri,Other,0.0
Nyeri,Don't know,0.3
Nyeri,No treatment,54.6
Kirinyaga,Use appropriate treatment method,30.9
Kirinyaga,Boil,21.9
Kirinyaga,Bleach/chlorine,11.5
Kirinyaga,Strain through cloth,0.0
Kirinyaga,Ceramic/sand/other filter,1.0
Kirinyaga,Solar disinfection,0.0
Kirinyaga,Stand & settle,1.5
Kirinyaga,Cover container,1.3
Kirinyaga,Other,0.0
Kirinyaga,Don't know,0.0
Kirinyaga,No treatment,67.7
Murang'a,Use appropriate treatment method,34.4
Murang'a,Boil,26.4
Murang'a,Bleach/chlorine,8.8
Murang'a,Strain through cloth,1.6
Murang'a,Ceramic/sand/other filter,0.6
Murang'a,Solar disinfection,0.0
Murang'a,Stand & settle,10.7
Murang'a,Cover container,10.0
Murang'a,Other,0.2
Murang'a,Don't know,0.0
Murang'a,No treatment,58.4
Kiambu,Use appropriate treatment method,35.5
Kiambu,Boil,28.4
Kiambu,Bleach/chlorine,9.8
Kiambu,Strain through cloth,0.0
Kiambu,Ceramic/sand/other filter,0.4
Kiambu,Solar disinfection,0.0
Kiambu,Stand & settle,0.2
Kiambu,Cover container,0.0
Kiambu,Other,0.0
Kiambu,Don't know,0.1
Kiambu,No treatment,64.2
Turkana,Use appropriate treatment method,16.4
Turkana,Boil,6.8
Turkana,Bleach/chlorine,12.0
Turkana,Strain through cloth,0.6
Turkana,Ceramic/sand/other filter,0.1
Turkana,Solar disinfection,0.1
Turkana,Stand & settle,2.3
Turkana,Cover container,7.0
Turkana,Other,0.7
