County,Category,Proportion
Mombasa,TFR,2.9
Mombasa,Percentage of women aged 15-49 currently pregnant,4.7
Mombasa,Mean number of children for women aged 40-49,3.6
Kwale,TFR,4.2
Kwale,Percentage of women aged 15-49 currently pregnant,7.2
Kwale,Mean number of children for women aged 40-49,5.1
Kilifi,TFR,3.4
Kilifi,Percentage of women aged 15-49 currently pregnant,6.8
Kilifi,Mean number of children for women aged 40-49,5.5
Tana River,TFR,5.7
Tana River,Percentage of women aged 15-49 currently pregnant,8.6
Tana River,Mean number of children for women aged 40-49,5.8
Lamu,TFR,4.6
Lamu,Percentage of women aged 15-49 currently pregnant,8.8
Lamu,Mean number of children for women aged 40-49,4.9
Taita/Taveta,TFR,3.5
Taita/Taveta,Percentage of women aged 15-49 currently pregnant,3.9
Taita/Taveta,Mean number of children for women aged 40-49,3.8
Garissa,TFR,5.3
Garissa,Percentage of women aged 15-49 currently pregnant,6.8
Garissa,Mean number of children for women aged 40-49,7.1
Wajir,TFR,6.8
Wajir,Percentage of women aged 15-49 currently pregnant,11.0
Wajir,Mean number of children for women aged 40-49,7.8
Mandera,TFR,7.7
Mandera,Percentage of women aged 15-49 currently pregnant,10.5
Mandera,Mean number of children for women aged 40-49,7.4
Marsabit,TFR,6.3
Marsabit,Percentage of women aged 15-49 currently pregnant,8.3
Marsabit,Mean number of children for women aged 40-49,5.3
Isiolo,TFR,4.5
Isiolo,Percentage of women aged 15-49 currently pregnant,5.6
Isiolo,Mean number of children for women aged 40-49,5.2
Meru,TFR,3.4
Meru,Percentage of women aged 15-49 currently pregnant,4.9
Meru,Mean number of children for women aged 40-49,3.5
Tharaka-Nithi,TFR,3.1
Tharaka-Nithi,Percentage of women aged 15-49 currently pregnant,4.2
Tharaka-Nithi,Mean number of children for women aged 40-49,4.1
Embu,TFR,3.1
Embu,Percentage of women aged 15-49 currently pregnant,4.0
Embu,Mean number of children for women aged 40-49,3.2
Kitui,TFR,3.2
Kitui,Percentage of women aged 15-49 currently pregnant,2.4
Kitui,Mean number of children for women aged 40-49,4.6
Machakos,TFR,2.8
Machakos,Percentage of women aged 15-49 currently pregnant,4.0
Machakos,Mean number of children for women aged 40-49,3.4
Makueni,TFR,3.3
Makueni,Percentage of women aged 15-49 currently pregnant,4.9
Makueni,Mean number of children for women aged 40-49,4.1
Nyandarua,TFR,3.6
Nyandarua,Percentage of women aged 15-49 currently pregnant,3.6
Nyandarua,Mean number of children for women aged 40-49,4.3
Nyeri,TFR,3.1
Nyeri,Percentage of women aged 15-49 currently pregnant,3.4
Nyeri,Mean number of children for women aged 40-49,2.9
Kirinyaga,TFR,2.8
Kirinyaga,Percentage of women aged 15-49 currently pregnant,4.0
Kirinyaga,Mean number of children for women aged 40-49,2.8
Murang’a,TFR,3.5
Murang’a,Percentage of women aged 15-49 currently pregnant,3.5
Murang’a,Mean number of children for women aged 40-49,3.4
Kiambu,TFR,2.9
Kiambu,Percentage of women aged 15-49 currently pregnant,4.6
Kiambu,Mean number of children for women aged 40-49,3.3
Turkana,TFR,6.0
Turkana,Percentage of women aged 15-49 currently pregnant,7.5
Turkana,Mean number of children for women aged 40-49,5.9
