characteristic,variable,category,proportion
<20,Age,No. still births,29
<20,Age,No. neonatal dealths,50
<20,Age,Rate still birth,12.3
<20,Age,Rate neonatal deaths,22
<20,Age,Perinatal mortality rate,33.9
<20,Age,Pregnancies (28 weeks),2328
<20,Age,Ratio still neonatal,0.6
20-29,Age,No. still births,112
20-29,Age,No. neonatal dealths,154
20-29,Age,Rate still birth,11.4
20-29,Age,Rate neonatal deaths,15.8
20-29,Age,Perinatal mortality rate,27.1
20-29,Age,Pregnancies (28 weeks),9817
20-29,Age,Ratio still neonatal,0.7
30-39,Age,No. still births,108
30-39,Age,No. neonatal dealths,83
30-39,Age,Rate still birth,21.6
30-39,Age,Rate neonatal deaths,16.9
30-39,Age,Perinatal mortality rate,38
30-39,Age,Pregnancies (28 weeks),5008
30-39,Age,Ratio still neonatal,1.3
40-49,Age,No. still births,19
40-49,Age,No. neonatal dealths,13
40-49,Age,Rate still birth,33
40-49,Age,Rate neonatal deaths,23
40-49,Age,Perinatal mortality rate,55.2
40-49,Age,Pregnancies (28 weeks),591
40-49,Age,Ratio still neonatal,1.5
First pregnancy,Pregnancy,No. still births,56
First pregnancy,Pregnancy,No. neonatal dealths,97
First pregnancy,Pregnancy,Rate still birth,11.1
First pregnancy,Pregnancy,Rate neonatal deaths,19.5
First pregnancy,Pregnancy,Perinatal mortality rate,30.3
First pregnancy,Pregnancy,Pregnancies (28 weeks),5038
First pregnancy,Pregnancy,Ratio still neonatal,0.6
<15,Pregnancy,No. still births,47
<15,Pregnancy,No. neonatal dealths,66
<15,Pregnancy,Rate still birth,16.8
<15,Pregnancy,Rate neonatal deaths,24.1
<15,Pregnancy,Perinatal mortality rate,40.5
<15,Pregnancy,Pregnancies (28 weeks),2799
<15,Pregnancy,Ratio still neonatal,0.7
15-26,Pregnancy,No. still births,47
15-26,Pregnancy,No. neonatal dealths,44
15-26,Pregnancy,Rate still birth,15.8
15-26,Pregnancy,Rate neonatal deaths,15.3
15-26,Pregnancy,Perinatal mortality rate,30.9
15-26,Pregnancy,Pregnancies (28 weeks),2949
15-26,Pregnancy,Ratio still neonatal,1.1
27-38,Pregnancy,No. still births,24
27-38,Pregnancy,No. neonatal dealths,23
27-38,Pregnancy,Rate still birth,11.4
27-38,Pregnancy,Rate neonatal deaths,11.3
27-38,Pregnancy,Perinatal mortality rate,22.5
27-38,Pregnancy,Pregnancies (28 weeks),2082
27-38,Pregnancy,Ratio still neonatal,1
39+,Pregnancy,No. still births,95
39+,Pregnancy,No. neonatal dealths,69
39+,Pregnancy,Rate still birth,19.5
