County,Unmet_need,All_methods,Modern_methods,Total_demand,Number_women,Demand_satisfied_all_methods,Demand_satisfied_modern_methods
Mombasa,19.1,46.8,40.9,65.9,281,71.0,62.0
Kwale,24.4,32.5,32.5,56.9,159,57.1,57.1
Kilifi,17.9,51.0,46.9,68.9,255,74.0,68.1
Tana River,33.6,24.5,22.9,58.1,56,42.2,39.4
Lamu,16.8,46.5,41.0,63.3,33,73.4,64.8
Taita/Taveta,12.8,67.1,63.9,80.0,67,84.0,80.0
Garissa,10.8,15.2,12.6,26.1,94,58.5,48.4
Wajir,12.7,4.2,4.2,16.9,52,24.9,24.9
Mandera,17.3,0.7,0.7,18.0,75,4.1,4.1
Marsabit,37.6,4.8,4.8,42.4,50,11.4,11.4
Isiolo,27.3,33.0,31.0,60.2,43,54.8,51.5
Meru,7.8,77.7,71.0,85.5,291,90.9,83.1
Tharaka-Nithi,9.7,72.9,67.4,82.6,86,88.2,81.6
Embu,2.2,81.7,74.9,83.9,109,97.4,89.3
Kitui,17.7,67.4,62.5,85.1,218,79.2,73.4
Machakos,6.7,77.2,66.0,84.0,297,92.0,78.6
Makueni,10.8,69.3,60.6,80.1,199,86.5,75.7
Nyandarua,8.6,75.9,72.6,84.4,119,89.9,85.9
Nyeri,4.9,79.7,72.9,84.6,132,94.2,86.2
Kirinyaga,6.7,73.7,68.0,80.4,135,91.7,84.5
Murang’a,5.3,73.0,69.0,78.4,164,93.2,88.1
Kiambu,8.0,74.5,66.1,82.4,574,90.3,80.2
Turkana,15.6,39.4,30.2,55.1,105,71.6,54.9
West Pokot,30.3,23.2,22.6,53.5,138,43.3,42.3
Samburu,29.4,33.1,26.5,62.5,52,52.9,42.5
Trans Nzoia,13.6,69.2,65.8,82.8,180,83.6,79.4
Uasin Gishu,13.3,67.4,60.3,80.6,284,83.6,74.7
Elgeyo/Marakwet,13.5,71.1,57.3,84.6,72,84.0,67.7
Nandi,17.7,63.8,58.6,81.6,173,78.3,71.9
Baringo,16.6,55.4,44.8,72.0,103,77.0,62.2
Laikipia,4.7,75.7,66.8,80.4,84,94.1,83.0
Nakuru,8.3,72.1,64.6,80.4,501,89.7,80.3
Narok,14.8,65.9,55.2,80.7,242,81.7,68.4
Kajiado,12.5,59.9,54.8,72.4,262,82.7,75.7
Kericho,17.1,60.0,60.0,77.1,197,77.8,77.8
Bomet,16.7,63.3,56.9,80.0,187,79.1,71.1
Kakamega,13.4,68.7,64.9,82.2,381,83.6,79.0
Vihiga,18.3,60.0,57.6,78.3,98,76.6,73.6
Bungoma,14.6,65.0,62.9,79.7,311,81.6,79.0
Busia,18.6,57.7,56.0,76.3,195,75.6,73.4
Siaya,27.3,42.2,41.6,69.5,155,60.8,59.9
Kisumu,16.4,60.5,57.1,76.9,207,78.7,74.2
Homa Bay,17.0,64.9,63.3,81.9,200,79.2,77.3
Migori,20.1,60.3,54.9,80.4,205,74.9,68.3
Kisii,14.9,68.7,63.2,83.6,277,82.1,75.6
Nyamira,15.9,62.1,58.9,78.0,92,79.6,75.5
Nairobi City,12.5,62.5,57.5,75.1,"1,129",83.3,76.6
